school_name,school_url
西南民族大学,472
西南农业大学,919
西南师范大学,2551
西南石油大学,6459
西南政法大学,16288
中国科学院研究生院(东北地理与农业生态研究所),219
中国科学院研究生院(动物研究所),1
中国科学院研究生院(福建物质结构研究所),2
中国科学院研究生院(高能物理研究所),3
中国建筑设计研究院,61
中国科学技术信息研究所,1
中国科学技术大学,11379
中国科学院研究生院(安徽光学精密机械研究所),2
中共广东省委党校,190
中共黑龙江省委党校,76
中共吉林省委党校,109
中共江苏省委党校,237
中共陕西省委党校,64
中国科学院研究生院(化学研究所),9
中冶集团建筑研究总院,24
冶金自动化研究设计院,37
英国桑得兰大学(University of Sunder Land),2
英国威尔士大学(University of Wales),1
中国工程物理研究院,1334
西南自动化研究所,3
中国科学院研究生院(工程热物理研究所),525
中国科学院研究生院(固体物理研究所),4
中国科学院研究生院(光电技术研究所),317
中国科学院研究生院(广州地球化学研究所),518
中国科学院研究生院(国家授时中心),261
中国科学院研究生院(半导体研究所),3
中国科学院研究生院(测量与地球物理研究所),39
中国科学院长春光学精密机械与物理研究所,1853
中国科学院研究生院(长春应用化学研究所),5
中国科学院研究生院(成都计算机应用研究所),29
中国科学院研究生院(计算机网络信息中心),3
中国科学院研究生院(计算技术研究所),814
中国科学院研究生院(教育部水土保持与生态环境研究中心),322
中国科学院研究生院(金属研究所),4
中国美术学院,2429
中国科学院研究生院(微生物研究所),1
中国科学院研究生院(国家天文台),5
中国科学院研究生院(过程工程研究所),104
中国科学院研究生院(海洋研究所),1567
中国科学院研究生院(合肥物质科学研究院),6
中国科学院研究生院(水利部成都山地灾害与环境研究所),9
中国科学院研究生院(成都生物研究所),114
中国科学院研究生院(成都有机化学研究所),1
中国科学院研究生院(大连化学物理研究所),471
中国科学院研究生院(近代物理研究所),172
中国科学院研究生院(科技政策与管理科学研究所),2
中国科学院国家空间科学中心,576
中国科学院研究生院(昆明动物研究所),1
重庆交通大学,6416
中国科学院研究生院(青海盐湖研究所),90
中国药科大学,8
中国民航大学,1862
中国农业大学,5142
中国农业机械化科学研究院,138
中国农业科学院,9737
中国气象科学研究院,639
中国科学院研究生院(文献情报中心),66
中国科学院研究生院(武汉病毒研究所),139
中国科学院研究生院(武汉物理与数学研究所),419
中国科学院研究生院(武汉植物园),92
中国科学院研究生院(物理研究所),12
中国科学院研究生院(华南植物研究所),2
中国科学院研究生院(大气物理研究所),76
中国科学院研究生院(昆明植物研究所),1
中国科学院研究生院(兰州地质研究所),27
中国科学院研究生院(寒区旱区环境与工程研究所),3
中国科学院研究生院(兰州化学物理研究所),3
中国科学院研究生院(理化技术研究所),166
重庆师范大学,5843
重庆医科大学,13492
重庆邮电大学,777
遵义医学院,2121
诺丁汉大学(The University of Nottingham),1
中国科学院研究生院(软件研究所),375
中国科学院研究生院(山西煤炭化学研究所),2
中国科学院研究生院(上海光学精密机械研究所),1
中国科学院研究生院(上海硅酸盐研究所),2
中国科学院研究生院(上海技术物理研究所),227
中国食品药品检定研究院,115
中国医科大学,6459
中国艺术研究院,1621
中国音乐学院,679
中国原子能科学研究院,395
中国人民大学,664
中国人民公安大学,4
中国人民解放军军需大学,163
中国人民解放军医学院,4674
中国人民解放军外国语学院,293
澳大利亚国立大学(Australia National University),1
中国科学院研究生院(西安光学精密机械研究所),830
中国科学院研究生院(西双版纳热带植物园),135
中国科学院研究生院(心理研究所),2
中国科学院研究生院(北京),33
中国科学院研究生院(遥感应用研究所),187
中国科学院研究生院(理论物理研究所),3
中国科学院研究生院(力学研究所),2
中国科学院研究生院(南海海洋研究所),2
中国科学院研究生院(地理科学与资源研究所),14
中国科学院研究生院(南京土壤研究所),3
香港理工大学(The Hong Kong Polytechnic University),2
西南大学,25078
赣南师范学院,1062
英国利兹大学(The University of Leeds),2
大连大学,172
中国科学院研究生院(上海生命科学研究院),558
中国科学院研究生院(上海天文台),130
中国科学院研究生院(上海微系统与信息技术研究所),393
中国科学院研究生院(上海应用物理研究所),250
中国政法大学,13800
中国制浆造纸研究院,9
中国中医科学院,1845
中国科学院研究生院(武汉岩土力学研究所),257
中南财经政法大学,43
中国人民银行金融研究所,12
中国日用化学工业研究院,29
中国社会科学院研究生院,3456
中国石油大学(北京),38
中国石油大学(华东),9222
中共湖南省委党校,41
四川理工学院,42
河南科技学院,136
南京财经大学,3118
西安财经学院,34
中国科学院研究生院(云南天文台),244
中国科学院研究生院(植物研究所),270
中国科学院研究生院(紫金山天文台),1
中国科学院研究生院(自动化研究所),7
西藏民族大学,245
中国民用航空飞行学院,359
中国科学院研究生院(青藏高原研究所),1
广东药科大学,1039
承德医学院,446
沈阳大学,1321
中国佛学院,1
南安普顿大学(University of Southampton),1
中国科学院研究生院(上海有机化学研究所),2
中国科学院研究生院(沈阳计算技术研究所),405
中国科学院研究生院(沈阳应用生态研究所),20
中国科学院研究生院(沈阳自动化研究所),1
中国科学院研究生院(渗流流体力学研究所),155
中南大学,41567
中南林业科技大学,6035
中山大学,1608
中央财经大学,223
中国兽医药品监察所,63
中国水利水电科学研究院,260
中国戏曲学院,84
北京协和医学院,10449
中共辽宁省委党校,74
塔里木大学,329
长春师范大学,397
中南民族大学,3495
天津职业技术师范大学,307
中国科学院研究生院(自然科学史研究所),11
中国空气动力研究与发展中心,148
中国矿业大学,4860
中国矿业大学(北京),1397
中国林业科学研究院,2843
中国地质科学院,723
上海电力学院,190
喀什大学,335
浙江海洋大学,865
苏州科技大学,1891
中共上海市委党校,151
内蒙古科技大学,1992
山东体育学院,625
闽南师范大学,1453
武汉工程大学,1883
胜利油田科研工作站,1
武汉纺织大学,1389
淮北师范大学,807
仲恺农业工程学院,512
湖北民族学院,351
中国科学院研究生院(生态环境研究中心),4
中国科学院研究生院(生物物理研究所),1
中国科学院研究生院(声学研究所),9
中国科学院研究生院(数学与系统科学研究院),5
中国科学院研究生院(水生生物研究所),135
中央美术学院,2928
中央民族大学,9002
中央戏剧学院,5
中央音乐学院,992
重庆大学,40421
西安邮电大学,167
重庆工商大学,1773
吉林建筑大学,956
上海工程技术大学,1331
成都信息工程大学,133
滨州医学院,457
吉首大学,1195
江西科技师范大学,429
河北地质大学,766
重庆理工大学,3120
安徽建筑大学,1071
中国电子科学研究院,12
广东技术师范学院,523
湖南工业大学,2974
贵州财经大学,1240
兰州财经大学,1382
香港工商管理学院,1
浙江财经大学,2353
河北北方学院,474
世界海事大学(World Maritime University),1
韩国汉城大学(Seoul National University),1
天津农学院,129
海南师范大学,956
集美大学,1620
太原科技大学,2740
北方民族大学,208
川北医学院,701
浙江农林大学,2803
牡丹江师范学院,616
广西科技大学,656
甘肃政法学院,733
浙江理工大学,4792
哈尔滨商业大学,1477
广东海洋大学,997
陕西理工大学,438
广东财经大学,2212
泰国西北大学(Payap University),1
中国科学院大学(经济与管理学院),4
哈尔滨体育学院,215
中国科学院研究生院(国家纳米科学中心),2
吉林体育学院,421
安庆师范大学,277
中共重庆市委党校,53
安徽工程大学,982
山东工艺美术学院,279
安徽工业大学,1531
河南工业大学,2262
吉林师范大学,204
中国科学院大学(工程管理与信息技术学院),1143
西藏大学,851
潍坊医学院,68
轻工业环境保护研究所,13
湖南科技大学,3673
常州大学,126
长春工业大学,3816
桂林医学院,774
贵州民族大学,755
伊犁师范学院,169
沈阳建筑大学,1348
中国青年政治学院,1281
中原工学院,737
中国科学院研究生院(数学科学学院),1
武汉轻工大学,1443
云南艺术学院,888
中共山东省委党校,104
星海音乐学院,91
中共湖北省委党校,83
湖北师范大学,472
鞍山师范学院,60
浙江省医学科学院,10
天华化工机械及自动化研究设计院有限公司,6
合肥师范学院,72
黑龙江东方学院,25
青海大学,1431
河北科技师范学院,636
航天动力技术研究院,15
国家海洋环境预报中心,33
大理大学,523
锦州医科大学,1478
青海民族大学,156
江苏师范大学,723
青海师范大学,1720
黑龙江科技大学,110
中国计量科学研究院,80
